Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
21500,180502,97142,4336,41814,47703,19086,25369,54670089,64425,60097,7263,45986045,51275,49387200,24925,43110496,55444,64829056,10389,37761830,10099503
21750,162154,115060,3722,42522,61583,18590,25806,54013145,102253,62965,7254,42529568,51750,49350382,24411,43957869,76521,65221427,11972,39019225,10246740
22000,180959,93638,4332,44007,56060,19872,24029,57025874,79718,60326,7163,47726769,51928,50981357,25437,44572255,103150,66856131,10783,39970010,10416289
22250,187342,96763,4271,43200,56913,17876,28435,59216094,69126,66221,6944,45303157,62896,50415620,28716,44887773,65971,68508648,10707,38839489,10644883
22500,170565,99834,3745,43411,69096,19355,22705,58823184,66146,77551,6991,46871225,55919,51187004,36606,46219414,47915,70428097,11430,39030474,10528931
22750,192244,102302,4336,43299,82133,19082,23810,63570615,67201,85179,6977,45720219,54433,52190766,23336,45267023,48063,68431024,10344,39678850,10756702
23000,173128,114872,3786,43897,80182,18425,25882,56579162,67470,81824,7104,47762938,53733,53312180,24212,57795276,44911,66071706,9772,40560032,10794645
23250,238453,101062,3818,42749,89785,19840,33861,57027465,67955,79498,7259,48885919,53058,53215410,23751,49091947,46249,115089747,11706,40981120,11067554
23500,171943,100314,4742,40717,65281,41601,22797,59339922,75287,198998,7315,80082161,56376,53477129,23351,47015600,44185,117630458,9440,41405481,10917794
23750,167655,102385,4313,40495,62814,19292,23784,60744191,69322,53727,6967,49902595,51901,59906738,23294,46148113,42904,68585569,10593,42107442,11231435
24000,181653,114149,4435,43669,65396,17893,22418,81369724,67536,54225,7108,53587714,51878,54547381,61327,46681907,63035,73512549,10287,47830001,11323604
24250,164518,101077,3768,43994,60557,18093,27719,59077097,70236,56007,7274,55782737,56168,56158870,27480,47694635,45545,115590862,10288,42793622,11467695
24500,158749,99394,4311,44035,59931,18322,24158,61391658,68534,55155,7297,52465323,53703,59071300,22323,54645011,46954,92570739,10641,44726138,11762216
24750,165561,105689,4333,40663,116007,19228,25852,62094217,67699,49070,7030,54287473,55328,57794758,23049,49010387,43093,78502589,9149,45206987,11616658
25000,213583,118314,3793,44142,65911,17852,24948,63052097,75156,51180,6928,51977583,53050,61430419,21058,48526803,44333,94629043,9416,43811552,15157250
25250,200301,107458,4175,40597,58841,19804,26154,71190155,72145,56596,16142,53795747,51823,58558894,23674,50039590,45051,104068175,9963,44954282,25886650
25500,163586,104931,4288,41565,56086,19872,27091,64122294,68052,57254,6998,62026729,54790,59226268,23110,49874495,44084,138527289,17705,44674939,16437172
