Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
90000,232443,278816,3900,54490,54186,12945,21763,996097906,93757,72889,6787,641663029,60577,666697759,63760,681159279,44373,395343676,9684,270300840,103071423
90250,255280,337350,4384,48437,52136,15229,22036,1002531570,94682,77922,13604,686335509,62387,681015652,24853,653766758,42252,475058628,9680,271339238,108317593
90500,230503,265156,3880,52090,53164,17193,21475,1005642530,97857,75794,6789,693848922,61476,811090374,25683,717489123,56491,553754371,9382,268713937,95794720
90750,249779,284454,3944,48934,51793,13884,20403,1062182600,108569,73212,6845,655925141,61729,771611664,24961,745944177,105786,596647676,9206,278684966,97313467
91000,246565,268392,4370,51213,52059,15415,20540,1043929849,139882,78420,6812,776237016,63007,685062784,24042,712015999,46888,489422132,9437,277956254,100783711
91250,265497,279246,4439,59715,54712,16821,19694,1066293919,95214,76511,6941,747775651,60694,733901756,24324,731051158,45205,401875129,10306,275287953,97796389
91500,240318,273776,3860,69914,56837,19727,21000,1046682725,94605,78239,6835,684259597,65710,741562892,24447,857759409,45264,377663194,10106,276336925,97910056
91750,252243,267650,4401,68850,51566,19959,21748,1049561927,103151,86493,6853,674697427,59105,729799674,23258,699056368,44596,345726725,9437,282358837,116138551
92000,238460,283319,3937,87898,52363,20791,19475,1059492868,91929,71660,6993,735415373,61148,730093794,23816,708357527,51420,368996056,9265,275909087,102156239
92250,262052,253493,4353,110897,52167,19981,21401,1077932436,93231,74746,6836,697191688,62945,784651226,25024,744429106,44390,343168296,10705,280831058,99621989
92500,242691,276940,4327,90717,51271,19164,20099,1077743219,93546,73118,6939,757262917,62265,821446671,23990,748078687,46653,307786215,10202,281108306,107307476
92750,278546,302277,4304,87639,50703,27143,21285,1061609858,100354,72163,6876,741187694,58719,734591487,25108,809026333,46860,306881463,11043,282142223,118860361
93000,264588,327372,4328,64479,52051,21210,28137,1068422369,98034,78510,6824,778618730,56703,768096274,25688,747385040,46664,310983679,10344,282063490,103049610
93250,258456,274101,4731,76609,61099,24298,20416,1063413872,93754,85834,6928,742126456,67251,783872357,24714,834767786,44989,310825579,45733,297389252,104353086
93500,271367,245752,4603,63612,54531,20843,19235,1116521223,94072,78345,7043,742538306,61993,768843093,24936,754902207,45471,317039832,17076,302729583,112865154
93750,261076,300931,3992,56848,121460,24641,20999,1080260511,90201,87877,6805,735563118,56587,815116986,25847,806285964,43078,312636507,9677,295747336,107208011
94000,275435,248822,4309,67529,52556,22064,19747,1077237914,100192,75582,6845,766829232,59031,823932856,25947,775940415,44287,316042733,9468,289077113,118602085
94250,276612,440313,4492,56972,54992,23185,19777,1083183105,93716,75093,6846,790544113,57339,802375584,23571,768371141,43828,316032377,10106,301886019,106993119
94500,316481,243008,4455,55563,53670,21316,18846,1094128538,89432,84551,6907,905874981,59204,783529133,23875,794473592,63764,320145987,10468,293699814,104445983
94750,293281,226892,4566,55897,53223,19918,19287,1083703906,85215,77485,6903,778818217,54487,796824710,22778,771657557,45632,315828664,9907,293769065,122189151
95000,285357,233645,4714,71258,62571,22681,19857,1104292823,93244,74637,6828,769587715,63671,815646245,24204,795278162,44566,312692690,9159,302910127,118808506
95250,292088,216892,4491,68501,54359,21236,19172,1095062667,100381,75208,6903,785158445,58437,812377782,24654,856843626,43902,323601212,9913,305176758,109789983
95500,267600,234489,4492,55267,52353,23284,20040,1099217019,92734,78858,7024,792971959,57868,888797460,26939,789803607,43840,337851233,10718,304477574,107929846
95750,363056,232194,4509,56471,52058,23231,19885,1298179981,92326,81593,6976,857711713,57269,893056688,25954,817064636,45069,314325480,9827,300854914,115616842
96000,316022,229894,4632,54859,50167,20157,21174,1118117245,90048,85004,6978,777505018,54858,816168958,25029,819280338,41917,331580409,10350,337953819,112732035
96250,273421,213829,12312,55969,53928,25906,17183,1114087707,97056,75061,6816,787164104,57013,844709619,25457,840885858,41755,332975566,8629,295731622,132021320
96500,296069,221044,4347,64783,51351,17528,18444,1169264793,93328,76804,6906,813568889,57764,844374413,27727,788386599,44458,331962189,8738,307845060,110734180
96750,291543,208529,3872,92812,56353,16199,28979,1166193571,92100,77776,7185,799178139,64137,953790291,30752,819366421,58963,332035649,9317,308601001,115211399
97000,286820,229968,4005,59477,60414,18347,21367,1087378046,93351,77533,6933,832194563,57454,912710284,36890,792606608,55836,332700112,9365,313964216,117297370
97250,294596,209804,4366,58096,60058,17777,19804,1090595635,87820,90460,6883,826736346,53389,839021073,26171,863620667,42475,325332682,9262,316714629,120717876
97500,275036,269687,4376,64899,59004,19846,20935,1095602152,99043,78185,6866,867486669,52382,868926631,24679,779210822,44552,349523550,9377,329162792,114149525
97750,274032,222682,4004,56496,57414,19021,20447,1108332988,97865,78708,6986,807505749,53367,838999707,25262,834517917,44263,340825097,9652,311342175,116655044
98000,301853,234665,12768,121103,55446,16980,18692,1161086577,94200,80720,6823,828802127,51815,874174335,24042,803558341,42195,345800084,8759,326611658,111973651
98250,266508,219690,4046,60943,55331,17966,19351,1111595482,92575,110640,6853,843802654,51424,875041553,25891,816790787,42764,342558361,8924,334437547,122530045
98500,283710,233571,3890,57482,71496,17640,17845,1122972278,87103,133864,6810,832652950,52694,944806722,23745,863110910,45434,384848208,8767,365523902,130585902
98750,263142,223190,3991,67197,89327,17502,19059,1115811576,105400,80309,6818,845374766,54579,856840125,25834,868379833,53277,372411001,8827,322523837,122870842
99000,277804,234061,4379,55818,78526,18818,17801,1136325968,98418,80893,6946,848303965,52631,888402860,26383,831926467,44746,352566617,9064,319646146,134827138
99250,319626,222603,4489,56075,68623,18308,19044,1190479405,97702,79716,12907,893294850,52664,874369635,24933,866491704,53771,330019343,43155,320531596,136613012
99500,269504,240467,3939,54292,64866,17217,19583,1127767675,94269,84281,6824,870801468,52989,877717523,25786,874880095,47025,333452135,8868,314350698,119235981
99750,291460,230796,4061,59005,63823,20369,18507,1128219875,121656,92649,6848,848936230,54487,955291965,27163,916106169,52728,344284474,10016,332930107,126529180
100000,266589,237682,4031,66860,84334,19373,17833,1178605649,99277,83304,6801,851261760,52021,902957539,28469,828076221,56919,345012589,8817,320895900,115853586
100250,275601,225708,4072,58399,67684,20592,19253,1170793782,383916,84833,6841,850931363,51555,905899879,27816,903501440,54729,332514163,9129,324492614,126145581
100500,271835,245958,4355,54059,66084,26780,28808,1128054633,98373,85979,6928,894690591,64819,897630280,28989,881065095,50952,347414800,9046,327280721,122699123
100750,257888,229690,4053,57848,89014,19692,19448,1139617997,94281,93844,6760,866523485,68320,911734320,27660,979415390,63431,343588256,9399,325178583,119767597
101000,282747,247006,3896,54136,97473,18492,19405,1139206418,92247,92908,7044,847073327,57371,936460222,31488,1029008288,54420,342652467,9745,328325944,124509543
101250,258805,237657,4537,63081,113327,18206,19522,1166817859,93891,85472,6826,847775912,54140,959875341,31370,1016559614,48695,342448732,8765,343200107,125467513
101500,271686,281656,4426,67932,90544,17441,18686,1162134213,103660,86588,6793,889312037,52636,943435520,31932,920482417,44944,338476585,8632,338406739,129310727
101750,252630,235786,4316,60243,71503,19731,19874,1169938531,98762,87811,6832,910392571,51324,938680104,31371,880410090,52822,355095525,9690,328379195,123183054
102000,267994,258081,4422,56884,120035,17308,17459,1168043998,89050,91541,6901,882975907,59088,947198997,33378,888484995,41490,344147165,8876,331385539,122733483
102250,261746,242704,4474,64504,73501,14907,16715,1186760280,94625,101499,6864,871670157,61620,978001804,33144,894580183,43320,347146662,9205,337927472,135771974
102500,256878,262161,4029,53741,84929,15022,17409,1216301429,103010,92731,6791,869399564,51174,1017687537,33338,941034851,42590,348636249,9255,330605945,126459784
102750,317910,261932,4420,55894,70041,17176,19458,1164408426,99160,93530,6791,956793059,49043,938681535,39435,917092768,43751,362902378,8469,340792280,131458257
103000,273791,256574,3938,53636,68487,20221,18578,1176623110,100451,99051,6831,918800751,106674,980310454,46020,966259515,54653,344157183,8175,343635640,130331875
103250,282566,261962,4436,68543,65318,17961,18886,1197980486,97982,110663,6797,945190303,49734,954477620,44865,919976768,42437,360234601,9060,335381502,125799030
103500,289101,249886,4504,73236,369666,16789,17856,1181917581,94981,102794,6840,917033655,53096,994165271,39543,924981736,45644,381863273,9503,340977920,133838512
103750,269221,268734,11886,56754,72084,16583,17401,1187051419,104481,108533,6849,889519496,57097,1042008042,37577,942331034,42347,362762614,8548,356471626,132949948
104000,298525,274451,4625,57107,66071,20351,20726,1234394645,97369,135384,6846,931498639,47950,984589106,47304,930870275,42542,406149185,8715,355146900,126804958
104250,2899,7056,56,514,964,1033,1210,13528810,1073,2625,83,10108108,392,25459592,1243,9504047,414,5140339,801,6399194,1867753
